DESCRIPCION	codigo producto cleinte	descripcion rpdocuto cliente	HTS
ROSES - L.BREEZE R	ROSES	ROSES	06.03.11.00.60
ROSES - L.BREEZE/M	ROSES	ROSES	06.03.11.00.60
ROSES - L.LADY/TAN	ROSES	ROSES	06.03.11.00.60
ROSES - L.ORLANDO	ROSES	ROSES	06.03.11.00.60
ROSES - LADY	ROSES	ROSES	06.03.11.00.60
ROSES - LAGUNA	ROSES	ROSES	06.03.11.00.60
ROSES - LAGUNA/VIR	ROSES	ROSES	06.03.11.00.60
ROSES - LANCOME	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN AMBI	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN BEAU	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN BREE	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN LADY	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN LAY	ROSES	ROSES	06.03.11.00.60
ROSES - LATIN LOVE	ROSES	ROSES	06.03.11.00.60
ROSES - LATINA	ROSES	ROSES	06.03.11.00.60
ROSES - LEONIDA/TE	ROSES	ROSES	06.03.11.00.60
ROSES - LEONIDAS	ROSES	ROSES	06.03.11.00.60
ROSES - LEONIDAS/L	ROSES	ROSES	06.03.11.00.60
ROSES - LEONIDAS/V	ROSES	ROSES	06.03.11.00.60
ROSES - LIGHT ORLA	ROSES	ROSES	06.03.11.00.60
ROSES - LIMBO	ROSES	ROSES	06.03.11.00.60
ROSES - LIMONA	ROSES	ROSES	06.03.11.00.60
ROSES - LINA	ROSES	ROSES	06.03.11.00.60
ROSES - LINDSEY	ROSES	ROSES	06.03.11.00.60
ROSES - LIPS/TERRA	ROSES	ROSES	06.03.11.00.60
ROSES - LIPSTICK	ROSES	ROSES	06.03.11.00.60
ROSES - LIPSTICK R	ROSES	ROSES	06.03.11.00.60
ROSES - LIPSTICK/K	ROSES	ROSES	06.03.11.00.60
ROSES - LIPSTICK/S	ROSES	ROSES	06.03.11.00.60
ROSES - LIPSTICK/T	ROSES	ROSES	06.03.11.00.60
ROSES - LISPTICK/W	ROSES	ROSES	06.03.11.00.60
ROSES - LIV/QUEEN	ROSES	ROSES	06.03.11.00.60
ROSES - LIVIA	ROSES	ROSES	06.03.11.00.60
ROSES - LIVIA 40	ROSES	ROSES	06.03.11.00.60
ROSES - LIVIA/ATTA	ROSES	ROSES	06.03.11.00.60
ROSES - LIVIA/TANG	ROSES	ROSES	06.03.11.00.60
ROSES - LIVIA/VIRG	ROSES	ROSES	06.03.11.00.60
ROSES - LOLLYPOP	ROSES	ROSES	06.03.11.00.60
ROSES - LOLY/VIRG	ROSES	ROSES	06.03.11.00.60
ROSES - LONG ARIFA	ROSES	ROSES	06.03.11.00.60
ROSES - LORENA	ROSES	ROSES	06.03.11.00.60
ROSES - LOVE STORY	ROSES	ROSES	06.03.11.00.60
ROSES - LOVELY AMA	ROSES	ROSES	06.03.11.00.60
ROSES - LOVELY LIV	ROSES	ROSES	06.03.11.00.60
ROSES - LUCAS	ROSES	ROSES	06.03.11.00.60
ROSES - LULU	ROSES	ROSES	06.03.11.00.60
ROSES - LUXOR	ROSES	ROSES	06.03.11.00.60
ROSES - LUXOR RUSS	ROSES	ROSES	06.03.11.00.60
ROSES - MADAME RUS	ROSES	ROSES	06.03.11.00.60
ROSES - MADAME/CHA	ROSES	ROSES	06.03.11.00.60
ROSES - MAIIKE	ROSES	ROSES	06.03.11.00.60
ROSES - MAIKE	ROSES	ROSES	06.03.11.00.60
ROSES - MAJESTY	ROSES	ROSES	06.03.11.00.60
ROSES - MALIBU	ROSES	ROSES	06.03.11.00.60
ROSES - MARIANA	ROSES	ROSES	06.03.11.00.60
ROSES - MARITIM	ROSES	ROSES	06.03.11.00.60
ROSES - MARJAN	ROSES	ROSES	06.03.11.00.60
ROSES - MARLYSE	ROSES	ROSES	06.03.11.00.60
ROSES - MD BARD	ROSES	ROSES	06.03.11.00.60
ROSES - MD BARD NE	ROSES	ROSES	06.03.11.00.60
ROSES - MDB/COLORS	ROSES	ROSES	06.03.11.00.60
ROSES - MELANIE	ROSES	ROSES	06.03.11.00.60
ROSES - MEMPHIS	ROSES	ROSES	06.03.11.00.60
ROSES - MESSAGE	ROSES	ROSES	06.03.11.00.60
ROSES - METALLINA	ROSES	ROSES	06.03.11.00.60
ROSES - MICHELLE	ROSES	ROSES	06.03.11.00.60
ROSES - MILVA	ROSES	ROSES	06.03.11.00.60
ROSES - MIRACLE	ROSES	ROSES	06.03.11.00.60
ROSES - MIRAGE	ROSES	ROSES	06.03.11.00.60
ROSES - MONALISA	ROSES	ROSES	06.03.11.00.60
ROSES - MONINA	ROSES	ROSES	06.03.11.00.60
ROSES - MONYNA	ROSES	ROSES	06.03.11.00.60
ROSES - MOVIE STAR	ROSES	ROSES	06.03.11.00.60
ROSES - MT EVEREST	ROSES	ROSES	06.03.11.00.60
ROSES - MT EVERST	ROSES	ROSES	06.03.11.00.60
ROSES - MT.CARLO	ROSES	ROSES	06.03.11.00.60
ROSES - MT.EVERST	ROSES	ROSES	06.03.11.00.60
ROSES - MURANO	ROSES	ROSES	06.03.11.00.60
ROSES - MYSTERY	ROSES	ROSES	06.03.11.00.60
ROSES - NABUKO	ROSES	ROSES	06.03.11.00.60
ROSES - NICOLE	ROSES	ROSES	06.03.11.00.60
ROSES - NIGHT FEVE	ROSES	ROSES	06.03.11.00.60
ROSES - NIKITA	ROSES	ROSES	06.03.11.00.60
ROSES - NOBLESA/LA	ROSES	ROSES	06.03.11.00.60
ROSES - NOBLESE/LO	ROSES	ROSES	06.03.11.00.60
ROSES - NOBLESE/TI	ROSES	ROSES	06.03.11.00.60
ROSES - NOBLESS	ROSES	ROSES	06.03.11.00.60
ROSES - O AMBASSA	ROSES	ROSES	06.03.11.00.60
ROSES - O UNIQUE	ROSES	ROSES	06.03.11.00.60
ROSES - O UNIQUE/M	ROSES	ROSES	06.03.11.00.60
ROSES - O.FRANCE	ROSES	ROSES	06.03.11.00.60
ROSES - OBSECION	ROSES	ROSES	06.03.11.00.60
ROSES - OCEAN SONG	ROSES	ROSES	06.03.11.00.60
ROSES - OLGA	ROSES	ROSES	06.03.11.00.60
ROSES - OPERA	ROSES	ROSES	06.03.11.00.60
ROSES - OPIUM	ROSES	ROSES	06.03.11.00.60
ROSES - ORANGE	ROSES	ROSES	06.03.11.00.60
ROSES - ORANGE MIX	ROSES	ROSES	06.03.11.00.60
ROSES - ORANGE/TAN	ROSES	ROSES	06.03.11.00.60
ROSES - ORANGE/YEL	ROSES	ROSES	06.03.11.00.60
ROSES - ORLANDO	ROSES	ROSES	06.03.11.00.60
ROSES - OSIANA	ROSES	ROSES	06.03.11.00.60
ROSES - PAILINE	ROSES	ROSES	06.03.11.00.60
ROSES - PANAMA	ROSES	ROSES	06.03.11.00.60
ROSES - PAPAYA	ROSES	ROSES	06.03.11.00.60
ROSES - PAREO	ROSES	ROSES	06.03.11.00.60
ROSES - PARIS	ROSES	ROSES	06.03.11.00.60
ROSES - PAVAROTTI	ROSES	ROSES	06.03.11.00.60
ROSES - PAVAROTTI/	ROSES	ROSES	06.03.11.00.60
ROSES - PEEK A BOO	ROSES	ROSES	06.03.11.00.60
ROSES - PEEKABOO R	ROSES	ROSES	06.03.11.00.60
ROSES - PEPPERMINT	ROSES	ROSES	06.03.11.00.60
ROSES - PIJAMA PAR	ROSES	ROSES	06.03.11.00.60
ROSES - PINKS	ROSES	ROSES	06.03.11.00.60
ROSES - PK ESPERAN	ROSES	ROSES	06.03.11.00.60
ROSES - PK INTUITI	ROSES	ROSES	06.03.11.00.60
ROSES - PK OSIANA	ROSES	ROSES	06.03.11.00.60
ROSES - POISON	ROSES	ROSES	06.03.11.00.60
ROSES - POLAR STAR	ROSES	ROSES	06.03.11.00.60
ROSES - POLO	ROSES	ROSES	06.03.11.00.60
ROSES - PORCELINA	ROSES	ROSES	06.03.11.00.60
ROSES - PREFERENCE	ROSES	ROSES	06.03.11.00.60
ROSES - PRICELESS	ROSES	ROSES	06.03.11.00.60
ROSES - PRICESLESS	ROSES	ROSES	06.03.11.00.60
ROSES - PRIMAVERA	ROSES	ROSES	06.03.11.00.60
ROSES - PRINCELESS	ROSES	ROSES	06.03.11.00.60
ROSES - PRIVE	ROSES	ROSES	06.03.11.00.60
ROSES - PRIVILEGE	ROSES	ROSES	06.03.11.00.60
ROSES - PROCONAS	ROSES	ROSES	06.03.11.00.60
ROSES - PROPHITA	ROSES	ROSES	06.03.11.00.60
ROSES - PU CEZANNE	ROSES	ROSES	06.03.11.00.60
ROSES - PURPLE CEZ	ROSES	ROSES	06.03.11.00.60
ROSES - QUEEN AMAZ	ROSES	ROSES	06.03.11.00.60
ROSES - QUEEN DAY	ROSES	ROSES	06.03.11.00.60
ROSES - QUEEN MARY	ROSES	ROSES	06.03.11.00.60
ROSES - QUEENSDAY	ROSES	ROSES	06.03.11.00.60
ROSES - R.UNIQUE/F	ROSES	ROSES	06.03.11.00.60
ROSES - RAINBOW	ROSES	ROSES	06.03.11.00.60
ROSES - RANUNCULA	ROSES	ROSES	06.03.11.00.60
ROSES - RAPHAELA	ROSES	ROSES	06.03.11.00.60
ROSES - RAVEL	ROSES	ROSES	06.03.11.00.60
ROSES - RAVEL/SKIL	ROSES	ROSES	06.03.11.00.60
ROSES - RAVEL/VEND	ROSES	ROSES	06.03.11.00.60
ROSES - RED BERLIN	ROSES	ROSES	06.03.11.00.60
ROSES - RED BULL	ROSES	ROSES	06.03.11.00.60
ROSES - RED FORTUN	ROSES	ROSES	06.03.11.00.60
ROSES - RED FRANCE	ROSES	ROSES	06.03.11.00.60
ROSES - RED INTUIT	ROSES	ROSES	06.03.11.00.60
ROSES - RED JEWEL	ROSES	ROSES	06.03.11.00.60
ROSES - RED ONE	ROSES	ROSES	06.03.11.00.60
ROSES - RED SENSAT	ROSES	ROSES	06.03.11.00.60
ROSES - RED UNIQUE	ROSES	ROSES	06.03.11.00.60
ROSES - RED/COLORS	ROSES	ROSES	06.03.11.00.60
ROSES - REDS	ROSES	ROSES	06.03.11.00.60
ROSES - REVUE	ROSES	ROSES	06.03.11.00.60
ROSES - ROCKEFELLE	ROSES	ROSES	06.03.11.00.60
ROSES - ROSA CONGA	ROSES	ROSES	06.03.11.00.60
ROSES - ROSE RED	ROSES	ROSES	06.03.11.00.60
ROSES - ROSITA VEN	ROSES	ROSES	06.03.11.00.60
ROSES - ROSSINI	ROSES	ROSES	06.03.11.00.60
ROSES - ROUGE	ROSES	ROSES	06.03.11.00.60
ROSES - ROUGE B RU	ROSES	ROSES	06.03.11.00.60
ROSES - ROUGE BAIS	ROSES	ROSES	06.03.11.00.60
ROSES - RUSSIAN	ROSES	ROSES	06.03.11.00.60
ROSES - SABINA	ROSES	ROSES	06.03.11.00.60
ROSES - SAHARA	ROSES	ROSES	06.03.11.00.60
ROSES - SAHARA/VIG	ROSES	ROSES	06.03.11.00.60
ROSES - SANTA FE	ROSES	ROSES	06.03.11.00.60
ROSES - SAPHIR	ROSES	ROSES	06.03.11.00.60
ROSES - SARI	ROSES	ROSES	06.03.11.00.60
ROSES - SARI/ROSIT	ROSES	ROSES	06.03.11.00.60
ROSES - SARI/TRIXX	ROSES	ROSES	06.03.11.00.60
ROSES - SATURNO	ROSES	ROSES	06.03.11.00.60
ROSES - SCIM	ROSES	ROSES	06.03.11.00.60
ROSES - SENSUELLA	ROSES	ROSES	06.03.11.00.60
ROSES - SEXY RED	ROSES	ROSES	06.03.11.00.60
ROSES - SHK BLUE	ROSES	ROSES	06.03.11.00.60
ROSES - SHK.VERSIL	ROSES	ROSES	06.03.11.00.60
ROSES - SILVER FOX	ROSES	ROSES	06.03.11.00.60
ROSES - SKILINE/MO	ROSES	ROSES	06.03.11.00.60
ROSES - SKYLINE	ROSES	ROSES	06.03.11.00.60
ROSES - SM VERSILI	ROSES	ROSES	06.03.11.00.60
ROSES - SOLAIRE	ROSES	ROSES	06.03.11.00.60
ROSES - SOLITAIRE	ROSES	ROSES	06.03.11.00.60
ROSES - SOMBRERO	ROSES	ROSES	06.03.11.00.60
ROSES - SONIA	ROSES	ROSES	06.03.11.00.60
ROSES - SONIVA	ROSES	ROSES	06.03.11.00.60
ROSES - SONRISA	ROSES	ROSES	06.03.11.00.60
ROSES - SOPHIE	ROSES	ROSES	06.03.11.00.60
ROSES - SOUTINE/LU	ROSES	ROSES	06.03.11.00.60
ROSES - SPARKLE	ROSES	ROSES	06.03.11.00.60
ROSES - SPICY	ROSES	ROSES	06.03.11.00.60
ROSES - STAR 2000	ROSES	ROSES	06.03.11.00.60
ROSES - STELLE	ROSES	ROSES	06.03.11.00.60
ROSES - STERLING 9	ROSES	ROSES	06.03.11.00.60
ROSES - STRANGER	ROSES	ROSES	06.03.11.00.60
ROSES - SUMMER VER	ROSES	ROSES	06.03.11.00.60
ROSES - SUN KING	ROSES	ROSES	06.03.11.00.60
ROSES - SUN LEONID	ROSES	ROSES	06.03.11.00.60
ROSES - SUN MASTER	ROSES	ROSES	06.03.11.00.60
ROSES - SUNDANCE	ROSES	ROSES	06.03.11.00.60
ROSES - SUPER GOLD	ROSES	ROSES	06.03.11.00.60
ROSES - SWEET AKIT	ROSES	ROSES	06.03.11.00.60
ROSES - SWEET LIVI	ROSES	ROSES	06.03.11.00.60
ROSES - SWEET UNIQ	ROSES	ROSES	06.03.11.00.60
ROSES - T.AMAZON	ROSES	ROSES	06.03.11.00.60
ROSES - TABASCO	ROSES	ROSES	06.03.11.00.60
ROSES - TANGO	ROSES	ROSES	06.03.11.00.60
ROSES - TANTAU	ROSES	ROSES	06.03.11.00.60
ROSES - TEA	ROSES	ROSES	06.03.11.00.60
ROSES - TERRA COTT	ROSES	ROSES	06.03.11.00.60
ROSES - TERRECOTA/	ROSES	ROSES	06.03.11.00.60
ROSES - TIBET	ROSES	ROSES	06.03.11.00.60
ROSES - TIGER TAIL	ROSES	ROSES	06.03.11.00.60
ROSES - TIMELESS	ROSES	ROSES	06.03.11.00.60
ROSES - TINEKE	ROSES	ROSES	06.03.11.00.60
ROSES - TINT ORANG	ROSES	ROSES	06.03.11.00.60
ROSES - TITANIC	ROSES	ROSES	06.03.11.00.60
ROSES - TITANIC RU	ROSES	ROSES	06.03.11.00.60
ROSES - TOPAZ	ROSES	ROSES	06.03.11.00.60
ROSES - TRESSOR	ROSES	ROSES	06.03.11.00.60
ROSES - TRIXX	ROSES	ROSES	06.03.11.00.60
ROSES - UNIQUE	ROSES	ROSES	06.03.11.00.60
ROSES - VANITY	ROSES	ROSES	06.03.11.00.60
ROSES - VANNIA	ROSES	ROSES	06.03.11.00.60
ROSES - VEN/G.ST/A	ROSES	ROSES	06.03.11.00.60
ROSES - VENDELA	ROSES	ROSES	06.03.11.00.60
ROSES - VENDELA RU	ROSES	ROSES	06.03.11.00.60
ROSES - VERANO	ROSES	ROSES	06.03.11.00.60
ROSES - VERDI	ROSES	ROSES	06.03.11.00.60
ROSES - VERSILIA	ROSES	ROSES	06.03.11.00.60
ROSES - VIRGINA RU	ROSES	ROSES	06.03.11.00.60
ROSES - VIRGINIA	ROSES	ROSES	06.03.11.00.60
ROSES - VISION	ROSES	ROSES	06.03.11.00.60
ROSES - VITAL	ROSES	ROSES	06.03.11.00.60
ROSES - VIVA	ROSES	ROSES	06.03.11.00.60
ROSES - VIVALDI	ROSES	ROSES	06.03.11.00.60
ROSES - VOGUE	ROSES	ROSES	06.03.11.00.60
ROSES - VOODOO	ROSES	ROSES	06.03.11.00.60
ROSES - W ANASTACI	ROSES	ROSES	06.03.11.00.60
ROSES - W.BLIZZARD	ROSES	ROSES	06.03.11.00.60
ROSES - WHITES	ROSES	ROSES	06.03.11.00.60
ROSES - WHT.CHARMI	ROSES	ROSES	06.03.11.00.60
ROSES - WOW	ROSES	ROSES	06.03.11.00.60
ROSES - Y.KING	ROSES	ROSES	06.03.11.00.60
ROSES - YELLOW	ROSES	ROSES	06.03.11.00.60
ROSES - YELLOW GOL	ROSES	ROSES	06.03.11.00.60
ROSES - YERYO	ROSES	ROSES	06.03.11.00.60
ROSES - YOUNG RUSS	ROSES	ROSES	06.03.11.00.60
Roses CB	ROSES	ROSES	06.03.11.00.60
Roses Spray	SPRAY ROSE	SPRAY ROSE	06.03.11.00.30
RUSCUS	RUSCUS	RUSCUS	06.04.91.00.80
Schefflera	SCHEFFLERA	SCHEFFLERA	06.04.20.00.00
SNAPDRAGON	SNAPDRAGON	SNAPDRAGON	06.03.19.90.90
Solidago	SOLIDAGOS	SOLIDAGOS	06.03.19.00.60
SOLIDAGOS	SOLIDAGOS	SOLIDAGOS	06.03.19.00.60
Spider Football Mum	SPIDER	SPIDER	06.03.14.00.20
Spray Carnation	SPRAY CARNATION	SPRAY CARNATION	06.03.12.10.00
SPRAY ROSE	SPRAY ROSE	SPRAY ROSE	06.03.11.00.30
SPRAY ROSES	SPRAY ROSE	SPRAY ROSE	06.03.11.00.30
Spray Roses CB	SPRAY ROSE	SPRAY ROSE	06.03.11.00.30
STATICE	STATICE	STATICE	06.03.19.00.60
STOCK	STOCK	STOCK	06.03.19.90.90
SUNFLOWER	SUNFLOWER	SUNFLOWER	06.03.19.00.60
TRACHELIUM	TRACHELIUM	TRACHELIUM	06.03.19.00.60
TREE FERN	TREE FERN	TREE FERN	06.04.20.00.00
VERONICA	VERONICA	VERONICA	06.03.19.00.60
FDV	SUNFLOWER	SUNFLOWER	06.03.19.00.60
ERY	ERYNGIUM	ERYNGIUM	06.03.19.00.60
LAK	LARKSPUR	LARKSPUR	06.03.19.90.90
BUP	BUPLEURUM	BUPLEURUM	06.03.19.00.60
ACH	ACHILLEA	ACHILLEA	06.03.19.90.00
DIA	DIANTHUS	DIANTHUS	06.03.12.70.00
BRO	BROMELIAD	BROMELIAD	06.03.19.90.90
RANUN	RANUNCULUS	RANUNCULUS	06.03.19.00.60
PRESER	PRESERVED ROSES	PRESERVED ROSES	0603.90.00.00
ANEM	ANEMONA	ANEMONA	06.03.19.00.60
MATH	MATTHIOLA INCANA	MATTHIOLA INCANA	06.03.19.90.90
KALES	KALE ORNAMENTAL	KALE ORNAMENTAL	06.03.19.90.90
ALPI	ALPINIA	ALPINIA	06.03.19.00.60
COR	CORDYLINE	CORDYLINE	06.04.20.00.00
CURC	CURCULIGO	CURCULIGO	06.04.20.00.00
RICE	RICE FLOWER	RICE FLOWER	06.03.19.90.90
ROSA	ROSES	ROSES	06.03.11.00.60
CLAVEL	CARNATION	CARNATION	06.03.12.70.00
MINI	SPRAY CARNATION	SPRAY CARNATION	06.03.12.10.00
ASTER	ASTER	ASTER	06.03.19.00.60
ALSTRO	ALSTROEMERIA	ALSTROEMERIA	06.03.19.30.00
POMPON	POMPON	POMPON	06.03.14.10.00
LIATRIS	LIATRIS	LIATRIS	06.03.19.90.90
GYPSO	GYPSOPHILA	GYPSOPHILA	06.03.19.01.20
STATICE	STATICE	STATICE	06.03.19.00.60
SNAP	SNAPDRAGON	SNAPDRAGON	06.03.19.90.90
LISINATHUS	LISIANTHUS	LISIANTHUS	06.03.19.90.90
SOLID	SOLIDAGOS	SOLIDAGOS	06.03.19.00.60
ANI	ANIGOZANTHUS	ANIGOZANTHUS	06.03.19.90.90
OR	ORNITOGALUM	ORNITOGALUM	06.03.19.00.60
GER	GERBERA	GERBERA	06.03.19.00.60
AST	ASTILBE	ASTILBE	06.03.90.00.00
HELI	HELICONIA	HELICONIA	06.03.19.90.90
DELP	DELPHINIUM	DELPHINIUM	06.03.19.00.60
HOR	HYDRANGEA	HYDRANGEA	06.03.19.90.90
HYP	HYPERYCUM	HYPERYCUM	06.03.19.00.60
MOL	MOLUCELLA	MOLUCELLA	06.03.19.00.60
TRA	TRACHELIUM	TRACHELIUM	06.03.19.00.60
LEA	LEATHER LEAF	LEATHER LEAF	06.04.20.00.00
SUNFLOWER	SUNFLOWER	SUNFLOWER	06.03.19.00.60
LIMONIUM	LIMONIUM	LIMONIUM	06.03.19.00.60
CALLAS	CALLA	CALLA	06.03.19.00.60
AGAPANT	AGAPANTHUS	AGAPANTHUS	06.03.19.00.60
CRISANTEM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
LIRIOS	LIRIOS	LIRIOS	06.03.19.90.10
BELL	BELLS	BELLS	06.03.19.00.60
PHL	PHLOX	PHLOX	06.03.19.00.60
TRE	TREE FERN	TREE FERN	06.04.20.00.00
LEAT	LEATHER LEAF	LEATHER LEAF	06.04.20.00.00
ANTU	ANTURIOS	ANTURIOS	06.03.19.90.90
ORQ	CYMBIDIUM	CYMBIDIUM	06.03.13.01.60
CAM	CAMPANULA	CAMPANULA	06.03.19.00.60
RUS	RUSCUS	RUSCUS	06.04.91.00.80
HYD	HYDRANGEA	HYDRANGEA	06.03.19.90.90
BOUV	BOUVARDIA	BOUVARDIA	06.03.19.90.90
MUMSDETRO	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
ALTR	ALSTRESIA	ALSTRESIA	06.03.19.30.00
SUNF	SUNFLOWER	SUNFLOWER	06.03.19.00.60
MUMS	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.90.00
VER	VERONICA	VERONICA	06.03.19.00.60
AMAR	AMARANTHUS	AMARANTHUS	06.03.19.00.60
EUCA	EUCALYPTUS	EUCALYPTUS	06.03.19.00.60
SPRAYROS	SPRAY ROSE	SPRAY ROSE	06.03.11.00.30
LYS	LYSIMACHIA	LYSIMACHIA	06.03.19.00.60
PAP	PAPYRUS	PAPYRUS	06.04.20.00.00
BELLS	BELLS	BELLS	06.03.19.00.60
PINO	PINO	PINO	44.21.99.90.00
MINGER	MINIGERBERAS	MINIGERBERAS	06.03.19.40.00
MICPOM	POMPON	POMPON	06.03.14.10.00
CREM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.20
AMMI	AMMI MAJUS	AMMI MAJUS	06.03.19.00.60
NINICA	MINI CALLA	MINI CALLA	06.03.19.90.90
ZAN	ZANTEDESCHIA	ZANTEDESCHIA	06.03.19.90.90
LEU	LEUCADENDRON	LEUCADENDRON	06.03.19.00.60
EQUI	EQUISETUM	EQUISETUM	06.04.20.00.00
LIRI	LIRIOPE	LIRIOPE	06.04.20.00.00
POD	PODOCARPUS	PODOCARPUS	06.04.90.00.00
CIP	CIPRES	CIPRES	06.03.19.00.60
LIG	LIGUSTRUM	LIGUSTRUM	06.03.19.90.90
STC	STOCK	STOCK	06.03.19.90.90
STR	STRAFLOWER	STRAFLOWER	06.03.90.00.00
NER	NERINES	NERINES	06.03.19.90.90
ALE	ALELI	ALELI	06.03.19.90.90
GOD	GODETHIA	GODETHIA	06.03.19.90.90
PAR	PALM	PALM	06.04.20.00.00
MIN	MINI CARNATION	MINI CARNATION	06.03.12.90.00
DAL	DALIAS	DALIAS	06.03.19.00.60
SENECIO	SENECIO CINERARIA	SENECIO CINERARIA	06.03.19.00.60
CRISANTEMO	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
LILY GRASS	LILY	LILY	06.03.15.00.00
LEUCOSPERMUM	LEUCOSPERMUM	LEUCOSPERMUM	06.03.19.90.90
SCABIOSA	SCABIOSA	SCABIOSA	06.04.91.00.00
SCAB	SCABIOSA	SCABIOSA	06.04.91.00.00
SEN	SENECIO CINERARIA	SENECIO CINERARIA	06.03.19.00.60
CRA	CRASPEDIA	CRASPEDIA	06.03.19.90.90
LAV	LAVANDA	LAVANDA	06.04.20.00.00
ASTRANTIA	ASTRANTIA	ASTRANTIA	06.03.19.90.90
LEPIDIUM	LEPIDIUM	LEPIDIUM	06.03.19.90.90
CARYOPTERIS	CARYOPTERIS	CARYOPTERIS	06.03.90.00.00
HELICHRYSUM	HELICHRYSUM	HELICHRYSUM	06.03.19.20.00
SIGSE	SIGSE	SIGSE	06.03.19.90.90
EUPHORBIA	EUPHORBIA	EUPHORBIA	06.03.19.00.60
HYPERICUM	HYPERYCUM	HYPERYCUM	06.03.19.00.60
MARA	MARACUYA	MARACUYA	08.10.90.10.20
PLTNM	PLATANO MACHO	PLATANO MACHO	08.03.10.10.00
UVI	UVILLA	UVILLA	08.10.90.50.00
MANG	MANGO	MANGO	80.11.90.91.00
CAFE	CAFE VERDE	CAFE VERDE	09.01.10.00.00
BNITO	BANANITO	BANANITO	08.03.90.11.90
PITA	PITAHAYA	PITAHAYA	08.10.90.40.00
GRANA	GRANADILLA	GRANADILLA	08.10.90.10.10
GUA	GUANABANA	GUANABANA	08.10.90.20.00
TAMAD	TOMATE DE ARBOL (TAMARILLO)	TOMATE DE ARBOL (TAMARILLO)	08.02.90.00.00
NARJ	NARANJILA	NARANJILA	08.10.90.90.00
BAB	BABACO	BABACO	08.11.10.90.00
PEPI	PEPINO DULCE	PEPINO DULCE	2001.10.00.00
CACAO	CACAO	CACAO	08.10.90.90.90
KIWA	KIWANO	KIWANO	08.07.19.00.00
TAXO	TAXO	TAXO	08.10.90.10.20
PRODUCTOAPP	MARIGOLD	MARIGOLD	06.03.19.90.90
PRODUCTOAPP	ASPARAGUS	ASPARAGUS	06.04.20.00.00
FUJI/SPIDER	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
FOOTBALL	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
FOOTBALL MUM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
SPIDER FOOTBALL MUM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
CB FOOTBALL MUM	CHRYSANTHEMUM	CHRYSANTHEMUM	06.03.14.00.10
PRODUCTOAPP	ECHEVERIA	ECHEVERIA	603199090
PRODUCTOAPP	ECHEVERIA	ECHEVERIA	06.03.19.00.90
PANICULATA	GYPSOPHILA	GYPSOPHILA	06.03.19.01.20
PRODUCTOAPP	PALMA FENIX	PALMA FENIX	06.04.20.00.00
PRODUCTOAPP	PALMA ARECA	PALMA ARECA	06.04.20.00.00
PRODUCTOAPP	STRAW FLOWER	STRAW FLOWER	06.03.90.00.00
PRODUCTOAPP	HORTENSIA	HORTENSIA	06.03.19.90.90
PRODUCTOAPP	TUNA	TUNA	08.10.90.90.90
PRODUCTOAPP	POLYPODIUM	POLYPODIUM	06.04.20.00.00
PRODUCTOAPP	PANDANUS	PANDANUS	06.04.20.00.00
PRODUCTOAPP	LATHYRUS	LATHYRUS	06.03.19.90.90
PRODUCTOAPP	NIGELLA	NIGELLA	06.03.19.90.90
PRODUCTOAPP	MANGOSTINO	MANGOSTINO	08.04.50.20.20
GULU	GULUPA	GULUPA	08.10.90.19.90
PRODUCTOAPP	ESPARRAGO	ESPARRAGO	07.09.20.00.00
PRODUCTOAPP	HYPERICUM	HYPERICUM	06.03.19.90.90
SABI	SABILA	SABILA	06.04.20.00.80
PRODUCTOAPP	ALOE VERA	ALOE VERA	13.02.19.99.00
PRODUCTOAPP	BRÓCOLI	BRÓCOLI	07.04.10.00.00
PRODUCTOAPP	TUNA	TUNA	08.10.90.90.90
PRODUCTOAPP	ALOCASIA	ALOCASIA	06.04.20.00.00
PRODUCTOAPP	CALATHEA	CALATHEA	06.04.20.00.00
PRODUCTOAPP	ETLINGERA	ETLINGERA	06.03.19.90.90
PRODUCTOAPP	MUSACEAS	MUSACEAS	06.03.19.90.90
PRODUCTOAPP	SANSEVIERIA	SANSEVIERIA	06.04.20.00.00
PRODUCTOAPP	HEBES	HEBES	06.03.19.90.90
PRODUCTOAPP	OCRA ORNAMENTAL	OCRA ORNAMENTAL	06.04.90.00.00
PRODUCTOAPP	SOMBREROS	SOMBREROS	65.02.00.10.00
PRODUCTOAPP	LUFFA	LUFFA	06.04.90.00.00
PRODUCTOAPP	PIÑA ORNAMENTAL	PIÑA ORNAMENTAL	06.03.19.90.90
